Storyteller,Transcript
Matt Baker,Matt Baker_transcript.docx (https://dl.airtable.com/OeLDcYbNSIqPRPzSAKXQ_Matt%20Baker_transcript.docx)
Patrick Honner,Patrick Honner_transcript.docx (https://dl.airtable.com/mJ1ZirdBTr6NkfuQMGYr_Patrick%20Honner_transcript.docx)
Giselle George-Gilkes,Giselle George-Gilkes_transcript.docx (https://dl.airtable.com/.attachments/db31be0f930183b68afd49cb7024836f/694c1ef6/GiselleGeorge-Gilkes_transcript.docx)
Pierce McManus,Pierce McManus_transcript.docx (https://dl.airtable.com/sphH38SFOjt2NS2VyiAQ_Pierce%20McManus_transcript.docx)
John Trumbo,John Trumbo_transcript.docx (https://dl.airtable.com/spfCTgY5S565x1SUffs8_John%20Trumbo_transcript.docx)
Jennifer Colbourne,Jen Colbourne_transcript.docx (https://dl.airtable.com/1FJmOnETXKS531gwu0G0_Jen%20Colbourne_transcript.docx)
George Kourounis,George Kourounis_transcript.docx (https://dl.airtable.com/JawaJJn5Tlu8S9ayM0hp_George%20Kourounis_transcript.docx)
Anthony Morgan,Anthony Morgan_transcript.docx (https://dl.airtable.com/Gn2JGDkGRpulmM6BhoNb_Anthony%20Morgan_transcript.docx)
Jo Handelsman,Jo Handelsman_transcript.docx (https://dl.airtable.com/cBsqCTsRRAeklK8Yyxis_Jo%20Handelsman_transcript.docx)
Josh Gondelman,Josh Gondelman_transcript.docx (https://dl.airtable.com/zFmJiuAMSJGkmRaioz7Z_Josh%20Gondelman_transcript.docx)
Arielle Duhaime-Ross,Arielle Duhaime-Ross_transcript.docx (https://dl.airtable.com/EDzk2teuSA6wxjnNR1wy_Arielle%20Duhaime-Ross_transcript.docx)
Cindy Joe,CindyJoe_transcript.docx (https://dl.airtable.com/ncEwts67QJqso1Y1iKDT_CindyJoe_transcript.docx)
Herman B. White Jr. ,HermanWhite_transcript_in RED.docx (https://dl.airtable.com/30zZQl25RUuapO5Gscm1_HermanWhite_transcript_in%20RED.docx)
Seth Cottrell v2,Seth Cottrell_transcript.docx (https://dl.airtable.com/s4p6Gj4eTSimSCrYy9rw_Seth%20Cottrell_transcript.docx)
Ben Kennedy,Ben Kennedy_transcript.docx (https://dl.airtable.com/MqIJoxueTZLgg7OAR6eJ_Ben%20Kennedy_transcript.docx)
Veronika Meduna,Veronika Meduna_transcript VM.docx (https://dl.airtable.com/2nqTMUDuQ2GTUK6PQlt3_Veronika%20Meduna_transcript%20VM.docx)
Charlie Cook,Charlie Cook_transcript.docx (https://dl.airtable.com/jBixNv04R0CvUGOl52Qn_Charlie%20Cook_transcript.docx)
Molly Gaebe,Molly Gaebe_transcript.docx (https://dl.airtable.com/nLb6t2asTKuHU3gmAmm1_Molly%20Gaebe_transcript.docx)
Jacey Powers,Jacey Powers_transcript.docx (https://dl.airtable.com/YyuNQy7iTaWuf8yB0uWB_Jacey%20Powers_transcript.docx)
Rasha Khoury,Rasha Khoury_transcript.docx (https://dl.airtable.com/EiN6vPgURKGeDvLVPxa5_Rasha%20Khoury_transcript.docx)
Veronica Ades,Veronica Ades_transcript.docx (https://dl.airtable.com/.attachments/422cd5688754796b2f704adbd90df06f/4268170e/VeronicaAdes_transcript.docx)
Tracey Segarra,Tracey Segarra_transcript.docx (https://dl.airtable.com/aVO8egXGSSNDZemvjsE2_Tracey%20Segarra_transcript.docx)
Michelle McCrackin,Michelle McCrackin_transcript.docx (https://dl.airtable.com/lhh6lmmJS8aIxiOdwmfV_Michelle%20McCrackin_transcript.docx)
Emi Okikawa,Emi Okikawa_transcript.docx (https://dl.airtable.com/SK0Du5kVQ1irkWpoHftC_Emi%20Okikawa_transcript.docx)
Raymond Carr,Raymond Carr 2_transcript.docx (https://dl.airtable.com/IyLnQp5QSmo7ps25bs84_Raymond%20Carr%202_transcript.docx)
Joseph Mendelson,Joseph Mendelson_transcript.docx (https://dl.airtable.com/dteNpYfSamqEKXtrZj7D_Joseph%20Mendelson_transcript.docx)
Kellie Vinal,Kellie Vinal_transcript.docx (https://dl.airtable.com/3IA13sLSjukQLnKp5jfg_Kellie%20Vinal_transcript.docx)
Samuel Achilefu,Samuel Achilefu_transcript.docx (https://dl.airtable.com/.attachments/de7d83c1855a3969da2d175d675f350e/9c28b5de/SamuelAchilefu_transcript.docx)
Rose DF,RoseDF_transcript.docx (https://dl.airtable.com/r5bPo4YRQ6A2KaBRloE7_RoseDF_transcript.docx)
Phillip Comella,Phillip Comella_transcript.docx (https://dl.airtable.com/VSFNmTOiTwp6Onkwp0Oi_Phillip%20Comella_transcript.docx)
Cailin Gallinger,Cailin Gallinger_transcript_edit.docx (https://dl.airtable.com/xJgvW0rTCaFZ6FPQlsg2_Cailin%20Gallinger_transcript_edit.docx)
Bianca Jones Marlin,Bianca Jones Marlin_transcript.docx (https://dl.airtable.com/37DisSyJSNyMm8ffnNJE_Bianca%20Jones%20Marlin_transcript.docx)
Jacqueline Trumbull,Jacqueline Trumbull_transcript.docx (https://dl.airtable.com/9TH1APNDQXudKvn6mR2C_Jacqueline%20Trumbull_transcript.docx)
Jennifer Landa,Jennifer Landa_transcript.docx (https://dl.airtable.com/ozPgxM1pSEiuBevoHmZ1_Jennifer%20Landa_transcript.docx)
Joey Slamon,Joey Slamon_transcript.docx (https://dl.airtable.com/.attachments/65f68070c124b2662fd0a828e2726970/7e36af12/JoeySlamon_transcript.docx)
Evelyn Valdez-Ward,Evelyn Valdez-Ward_transcript.docx (https://dl.airtable.com/gCFprYDFTDemqNxWYeAg_Evelyn%20Valdez-Ward_transcript.docx)
Nick Baskerville,Nick Baskerville_transcript.docx (https://dl.airtable.com/.attachments/744a3f0f1dfe90d8fdb4ec5dab0e44fe/62c31225/NickBaskerville_transcript.docx)
Kevin Burgio,Kevin Burgio_transcript.docx (https://dl.airtable.com/aWLk5ciQkqZgUtdC9jMC_Kevin%20Burgio_transcript.docx)
Margaret Rubega,Margaret Rubega_transcript.docx (https://dl.airtable.com/.attachments/df25808f7f4c79d9872f45ad7b81feb6/df55ee0e)
John Redden,John Redden_transcript.docx (https://dl.airtable.com/.attachments/8418f979aa610add5cb0d3cc83f8d381/5c7ff450/JohnRedden_transcript.docx)
LaShana Lewis,Lashana Lewis_transcript.docx (https://dl.airtable.com/.attachments/664428c6732645193145c9b0eaacd64a/b27bfa7c)
Sarah Fankhauser,Gwynne Hogan - Atlanta10_09_18_SarahFankhauser_transcript.docx (https://dl.airtable.com/.attachments/74fccf9c0e95e07ea2482bce51febaef/e816a5ca/GwynneHogan-Atlanta10_09_18_SarahFankhauser_transcript.docx)
Guizella Rocabado,GuizellaRocabado_transcript.docx (https://dl.airtable.com/.attachments/a46d25d83c7acbc7be18d5ef110e1373/0aa790ae)
Denise Coberley ,Denise Coberley_transcript.docx (https://dl.airtable.com/.attachments/9bfb7d1f5d18ebb59627d05876cb386b/226fc128/DeniseCoberley_transcript.docx)
Devine Calanog,DevineCalanog_transcript.docx (https://dl.airtable.com/V1ZrBzHEQNyU5cjdlUmC_DevineCalanog_transcript.docx)
Laura Spink,Laura Spink_transcript.docx (https://dl.airtable.com/.attachments/4a13a11caffcb2fb363799c7cfc1aa71/9124b1f2/LauraSpink_transcript.docx)
Charlotte Istance-Tamblin,Charlotte Istance-Tamblin_transcript.docx (https://dl.airtable.com/.attachments/9964766a3d099d5eb1521ccc13aedf26/56f1fc5d/CharlotteIstance-Tamblin_transcript.docx)
Ralph Bouquet,Ralph Bouquet_transcript.docx (https://dl.airtable.com/.attachments/581bb8c7cc74ae72df2bf357713e1784/4fc23ec0/RalphBouquet_transcript.docx)
Monica Dunford,Monica Dunford_transcript.docx (https://dl.airtable.com/.attachments/0a78b562ca59d83f3ab0802386c3f83b/19a2ca4e/MonicaDunford_transcript.docx)
Latasha Wright,Latasha Wright_transcript.docx (https://dl.airtable.com/.attachments/f185cdbc35caae423b223ee655ac3d9a/afc61308/LatashaWright_transcript.docx)
Ali Mustafa,Ali Mustafa_transcript.docx (https://dl.airtable.com/.attachments/a05c412be96b73fc51c66358bdd53180/b3c04b55/AliMustafa_transcript.docx)
Zoya Vallari,Nisse Greenberg - Vallari_transcript.docx (https://dl.airtable.com/.attachments/5142f6e8186eeb77e17ae75f73be23d5/85c27c68/NisseGreenberg-Vallari_transcript.docx)
Kitty Yang,JMM_Kitty Yang_transcript.docx (https://dl.airtable.com/.attachments/ee493a2319a61b829288609b3a53f1b4/62b09215/JMM_KittyYang_transcript.docx)
Jean Zarate,JeanZarate_transcript.docx (https://dl.airtable.com/.attachments/71b412822235685d45f8f0e5b4b68cad/465ab8ea/JeanZarate_transcript.docx)
